Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum,Cook_menu,Micro_t,Oven_t,MenuFreq,S1,S2,recent_ct,time,Y
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,33.823529411764696,685.0,6,0,1080,855,12,750
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,33.80116959064328,685.0,7,1,750,7200,23,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,33.714285714285715,685.0,12,0,30,7200,19,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,33.714285714285715,685.0,13,0,30,7200,19,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,33.551912568306015,724.736842105263,5,0,30,7200,16,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,33.513513513513516,724.736842105263,6,1,1440,710,23,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,33.513513513513516,724.736842105263,14,0,1500,832,16,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.981651376146786,750.0,7,0,30,290,17,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.96803652968037,750.0,8,0,30,270,17,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.96803652968037,750.0,9,0,30,7200,17,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.901785714285715,750.0,10,0,30,0,20,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.888888888888886,750.0,11,1,1440,1590,8,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.876106194690266,750.0,12,0,30,1440,20,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.85087719298246,750.0,13,0,330,1590,9,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.85087719298246,750.0,14,1,1440,300,12,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.85087719298246,750.0,15,1,1440,1440,21,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.81385281385281,750.0,16,0,30,1440,21,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.81385281385281,750.0,17,1,1440,7200,9,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.81385281385281,750.0,18,1,1440,1440,14,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,32.77777777777778,750.0,19,0,30,7200,9,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,12,33.13008130081301,764.516129032258,1,0,30,1440,18,150
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,18,33.00751879699248,744.6875,1,0,525,1440,16,856
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,32.97491039426523,745.7575757575756,15,0,780,1440,13,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,9,32.97491039426523,745.7575757575756,1,0,1200,1740,21,720
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,3,36.51917404129794,654.7727272727273,1,0,30,7200,15,780
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,36.51917404129794,654.7727272727273,16,0,525,1440,20,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,36.51917404129794,645.531914893617,17,0,1530,7200,14,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,4,36.51917404129794,645.531914893617,2,0,480,1590,16,930
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,36.51917404129794,645.531914893617,18,0,930,1590,23,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,36.48093841642229,645.531914893617,19,0,30,1740,19,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,36.46198830409357,637.0833333333334,8,0,30,1740,18,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,36.38176638176638,637.0833333333334,9,0,90,632,9,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,36.021505376344095,637.0833333333334,10,0,30,1740,19,870
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,4,36.021505376344095,637.0833333333334,3,0,870,1440,19,930
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,36.021505376344095,637.0833333333334,11,0,930,1440,11,870
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,23,36.06951871657754,637.0833333333334,3,0,870,0,15,60
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.880829015544045,637.0833333333334,20,0,30,1590,3,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.880829015544045,637.0833333333334,21,0,30,1440,3,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.79081632653061,637.0833333333334,22,0,30,0,0,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.79081632653061,637.0833333333334,23,0,30,1440,0,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.776081424936386,637.0833333333334,24,0,30,1590,1,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.476190476190474,637.0833333333334,25,0,30,1590,19,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.476190476190474,637.0833333333334,26,0,30,1440,19,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,35.28344671201814,623.2142857142858,27,0,30,1440,19,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,35.200892857142854,632.9230769230769,20,0,60,1440,17,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,35.200892857142854,632.9230769230769,21,0,60,1440,17,1890
